Symbol,Series
TSLA,EQ
NVDA,EQ
PLTR,EQ
AAPL,EQ
AMZN,EQ
MSFT,EQ
META,EQ
AVGO,EQ
AMD,EQ
GOOGL,EQ
GOOG,EQ
LLY,EQ
UNH,EQ
MU,EQ
CRM,EQ
BA,EQ
ADBE,EQ
INTC,EQ
UBER,EQ
COST,EQ
DELL,EQ
JPM,EQ
ORCL,EQ
CRWD,EQ
XOM,EQ
APO,EQ
VST,EQ
QCOM,EQ
V,EQ
BAC,EQ
WMT,EQ
PFE,EQ
AMAT,EQ
AMGN,EQ
INTU,EQ
GS,EQ
HD,EQ
ETN,EQ
DIS,EQ
JNJ,EQ
TMO,EQ
OXY,EQ
ABBV,EQ
MA,EQ
WFC,EQ
GEV,EQ
MRK,EQ
WDAY,EQ
TXN,EQ
HON,EQ
PANW,EQ
CCL,EQ
TGT,EQ
LULU,EQ
CSCO,EQ
PEP,EQ
KO,EQ
C,EQ
TMUS,EQ
PG,EQ
SBUX,EQ
HSY,EQ
LIN,EQ
SLB,EQ
AMCR,EQ
ABNB,EQ
NKE,EQ
PYPL,EQ
MPWR,EQ
ACN,EQ
LRCX,EQ
CVS,EQ
VRTX,EQ
ZTS,EQ
GE,EQ
MS,EQ
REGN,EQ
MCD,EQ
RCL,EQ
CMCSA,EQ
TDG,EQ
NEE,EQ
ANET,EQ
ISRG,EQ
DHR,EQ
AXON,EQ
IBM,EQ
ELV,EQ
CAT,EQ
FSLR,EQ
TT,EQ
SNPS,EQ
BLK,EQ
CI,EQ
F,EQ
GILD,EQ
PLD,EQ
AXP,EQ
VZ,EQ
COP,EQ
